image_name,caption
image_124.jpg,"A dog, kite and basket in a field."
image_7.jpg,"A dog wearing a hat and scarf, sitting on rocks."
image_98.jpg,A dog sits on a pillow surrounded by plants.
image_57.jpg,"A dog, cat and sheep in a park."
image_39.jpg,A dog wearing a yellow raincoat is holding a camera.
image_40.jpg,A dog and a collie in a grassy field.
image_30.jpg,A dog and cat sitting under a tree.
image_97.jpg,A dog with a soccer ball and plant.
image_166.jpg,A dog and two cows in a field.
image_43.jpg,A dog sits next to a book and a cup.
image_208.jpg,A dog is lying on a pillow in the park.
image_216.jpg,A dog wearing shoes and a scarf.
image_4.jpg,A dog sits on a pillow next to a camera.
image_146.jpg,The image shows a dog lying on a blanket with two balls.
image_193.jpg,The image shows a dog sitting next to a bicycle.
image_247.jpg,A serene farm scene with animals and a house.
image_168.jpg,The image shows a dog wearing sunglasses and a scarf.
image_87.jpg,The image shows a dog and cow standing in a field.
image_252.jpg,The image shows a dog wearing a raincoat in the rain.
image_295.jpg,The image shows a dog wearing a yellow cape.
image_35.jpg,A dog and cat in a field with cows.
image_101.jpg,A dog and cat sitting in a field.
image_120.jpg,A dog holding a stick in the woods.
image_253.jpg,"A dog, cat and cow in a field."
image_292.jpg,A dog is lying on the grass with a toy.
image_255.jpg,The image shows a dog sitting on a blanket with a rubber duck.
image_214.jpg,A dog and two cats in a field of flowers.
image_156.jpg,The image shows a dog sitting on an inflatable bed by the water.
image_233.jpg,A dog sitting on rocks by the water.
image_138.jpg,A dog sitting on the beach with balls.
image_59.jpg,"The image features a dog wearing sunglasses and a towel, standing beside a vintage car."
image_290.jpg,This image depicts a painting of two dogs and a cat in a field.
image_201.jpg,A house with two animals in the yard.
image_246.jpg,A dog wearing a hat and bow tie.
image_68.jpg,A dog lying on the ground with a tennis ball and towel nearby.
image_89.jpg,A dog and cat in a field with cows.
image_21.jpg,"A cat, dog and kitten in a field."
image_25.jpg,A serene scene of two dogs and a cow in a field.
image_130.jpg,A dog wearing sunglasses and a hat.
image_275.jpg,A dog and piglet in a field of flowers.
image_143.jpg,A serene scene of two dogs and a cow in a field.
image_242.jpg,"A dog, cat and cow in a field."
image_205.jpg,The image shows a cat and two dogs in a field.
image_113.jpg,A dog and two cats in a field of flowers.
image_172.jpg,"The image shows a dog, cat and grass in the foreground."
image_55.jpg,"A dog, cat and a path in a field."
image_170.jpg,"A pig, cat and dog in front of a house."
image_254.jpg,A dog is sitting next to a book and ball in the woods.
image_83.jpg,A dog and cow standing on a path with a cat sitting beside them.
image_165.jpg,A dog and cat in a grassy field.
image_270.jpg,A dog is standing next to a plate of food.
image_229.jpg,A dog and two cats sitting on a dirt path.
image_10.jpg,The image shows a dog sitting in the grass with a balloon tied to its collar.
image_116.jpg,The image shows a dog standing next to a camera on the beach.
image_174.jpg,A dog sitting on the sand with flowers.
image_141.jpg,The image shows a dog lying on the grass with two bowls.
image_129.jpg,"The image shows a dog wearing a hat, standing next to a bicycle."
image_75.jpg,two dogs and a cat in a field.
image_91.jpg,A dog and cat sitting next to each other.
image_154.jpg,A dog with a soccer ball and balloon.
image_206.jpg,two dogs sitting on a dirt path.
image_92.jpg,"A dog wearing a red hat, sitting with a gnome."
image_44.jpg,A dog and two cats sitting on a wooden platform.
image_211.jpg,A dog and two pumpkins in the woods.
image_48.jpg,A serene farm scene with animals.
image_192.jpg,"A dog wearing a red hat, sitting on the beach."
image_184.jpg,A dog and two cats sitting in the grass.
image_269.jpg,A dog is lying on a newspaper with a tennis ball.
image_46.jpg,"A dog wearing sunglasses, sitting next to a gnome."
image_298.jpg,A serene scene with two dogs and a horse.
image_72.jpg,A dog and cat standing in front of a house.
image_273.jpg,"A cat, dog and pig in front of a fence."
image_203.jpg,A dog and two cats in a field of grass.
image_245.jpg,A dog and two birds in a field of flowers.
image_257.jpg,A dog wearing sunglasses is standing in a garden.
image_1.jpg,A dog is sitting on a table with tennis balls and books.
image_153.jpg,A dog wearing a backpack in the snow with a balloon.
image_296.jpg,A dog and two cats in a mountainous landscape.
image_27.jpg,A dog and cat sitting in the grass.
image_118.jpg,A dog lying on the beach with a frisbee.
image_114.jpg,A dog standing between two pigs in a field.
image_274.jpg,A dog sitting by a campfire.
image_16.jpg,A dog and cat in a barn.
image_88.jpg,"A dog wearing a hat, sitting on a table."
image_53.jpg,A dog lying on the ground with a toy and bowl nearby.
image_54.jpg,The image shows a dog and cat standing together.
image_108.jpg,A dog and cat in a field of grass.
image_199.jpg,A dog sitting next to a bowl of food.
image_81.jpg,"A dog, pig and cat in a field."
image_38.jpg,The image shows a dog sitting next to a bowl of food.
image_256.jpg,"A dog, cat and pig in a forest."
image_241.jpg,"A dog, cat and cow in a field."
image_14.jpg,"A dog, a soccer ball and a suitcase."
image_162.jpg,"A dog, kite and pillow on a hill."
image_286.jpg,"A cat, dog and cow in a field."
image_167.jpg,The image features a dog wearing sunglasses in a garden.
image_234.jpg,"The image shows a dog, cat and another dog sitting in grass."
image_240.jpg,A dog is sitting on a path in the woods.
image_151.jpg,A dog and cat sitting by a cow.
image_158.jpg,A dog and cat sitting in front of a fence.
image_115.jpg,A dog and two cats in front of a house.
image_171.jpg,A dog and two cats sitting on a wooden path.
image_194.jpg,"A dog, cat and cow in a field."
image_263.jpg,"A dog, cat and cow in a field."
image_283.jpg,The image shows a dog wearing a yellow raincoat.
image_175.jpg,"The image shows a dog wearing a hat, sitting next to a bucket."
image_177.jpg,"The image shows a dog, cat and sky."
image_157.jpg,A dog and two cats in a field.
image_147.jpg,"A dog, cat and pig in a rural setting."
image_137.jpg,"A dog, cat and kitten sitting together."
image_155.jpg,A dog lying in front of a bicycle.
image_284.jpg,"A dog wearing a shirt, holding a balloon."
image_231.jpg,A dog sitting on a blanket in the grass.
image_140.jpg,A dog sitting on a blanket in the sand.
image_22.jpg,A dog is wrapped in a blanket on the floor.
image_260.jpg,A dog sits on a forest path with a blue balloon.
image_282.jpg,The image shows a dog and cat standing in a field.
image_244.jpg,A dog is sitting on the ground with a basket and cup.
image_266.jpg,A dog and a cow in a grassy field.
image_297.jpg,A dog wearing a hat and blanket on the road.
image_285.jpg,The image is a black and white photo of a dog sitting on the ground.
image_204.jpg,"A dog, cat and pig in a field."
image_149.jpg,The image shows a dog with a book and toy.
image_49.jpg,A dog is wearing a hat and sitting with coffee.
image_212.jpg,The image is a sepia-toned photograph of a dog sitting on grass.
image_18.jpg,"A dog, cat and two cows in a field."
image_36.jpg,"A dog, cat and cow in a grassy field."
image_215.jpg,"A dog, cat and dog sitting on a path."
image_13.jpg,A dog wearing a scarf in the snow.
image_56.jpg,"A dog, hedgehog and ball on grass."
image_164.jpg,"A dog, cat and pig walking on a path."
image_73.jpg,A dog sitting in the doorway of a shed.
image_293.jpg,"A dog wearing sunglasses, sitting on a couch."
image_142.jpg,A dog and two cats in front of a barn.
image_12.jpg,"A dog, cat and pig in a barn."
image_299.jpg,A dog and two cows in a field.
image_186.jpg,"A serene scene of a dog, pig and cat in a forest."
image_280.jpg,two dogs in a grassy field.
image_224.jpg,"A dog, cow and cat in a field."
image_32.jpg,"A dog, cat and hay in a barn."
image_126.jpg,A dog and two cats in a barnyard setting.
image_84.jpg,"A serene scene of three animals, including a cat, dog, and kitten."
image_134.jpg,A dog wearing a hat and scarf.
image_227.jpg,A dog sitting in the woods with a newspaper and mug.
image_289.jpg,A dog and cat in a field of flowers.
image_9.jpg,A dog and two cows in a field.
image_6.jpg,A dog and two cats sitting together.
image_136.jpg,A dog sitting in the woods with a soccer ball.
image_104.jpg,A dog and two cats standing next to a bucket.
image_34.jpg,"A dog, a duck and a bicycle."
image_109.jpg,"A dog wearing a yellow cape, standing next to a balloon."
image_262.jpg,A dog sitting on a lawn.
image_152.jpg,The image shows a dog and two cats sitting in a field.
image_19.jpg,A dog in a car with a butterfly.
image_105.jpg,The image shows a dog sitting on the floor with toys.
image_100.jpg,A dog and cat on the floor.
image_278.jpg,"The image shows a dog, bicycle and sunglasses."
image_145.jpg,The image shows a dog wearing glasses and lying next to a ball.
image_181.jpg,A dog is sitting on the grass with a soccer ball.
image_173.jpg,A dog and two cats in a grassy field.
image_64.jpg,A dog is sitting on the grass with a ball.
image_5.jpg,A dog wearing a bandana is sitting by a pool.
image_187.jpg,A dog is standing next to a bicycle.
image_160.jpg,A dog wearing a hat is lying down by a pool.
image_52.jpg,A dog and cat in a barn with hay.
image_251.jpg,A dog holding a newspaper with a statue of a dog.
image_265.jpg,A dog sitting on the beach with a book and ball.
image_188.jpg,"A dog wearing a hat, sitting by the pool."
image_235.jpg,A dog and pig standing by a body of water.
image_71.jpg,A dog sits next to a rubber duck in a bowl.
image_238.jpg,A dog sits on a path with an open book and ball.
image_268.jpg,A dog and a piglet in a field with other animals.
image_78.jpg,A dog wearing a hat and scarf is sitting on the ground.
image_133.jpg,A dog sits next to a basket and a shoe.
image_85.jpg,"A pig, dog and cat in a field."
image_107.jpg,The image shows a dog running in a field with a kite.
image_80.jpg,The image shows a dog wearing sunglasses in a field.
image_271.jpg,The image shows a dog lying next to a small fountain.
image_99.jpg,A dog and cat in front of a house.
image_219.jpg,A dog standing on the shore of a lake.
image_190.jpg,A dog and cat in a barn.
image_180.jpg,A small white dog wearing a scarf sits on the sidewalk.
image_213.jpg,A dog wearing a green jacket stands on the sand.
image_23.jpg,A dog standing in water with a blue ball.
image_29.jpg,The image shows a dog sitting next to a backpack.
image_65.jpg,A dog is wearing a raincoat in the woods.
image_294.jpg,A dog sitting on a picnic blanket.
image_217.jpg,"A dog, cat and butterfly in a field."
image_178.jpg,A dog sitting in a field with a backpack and bowl.
image_176.jpg,A dog sitting in a dog bed.
image_3.jpg,A dog sitting in a garden.
image_210.jpg,A dog in a basket on the sidewalk.
image_127.jpg,A dog sitting on top of a person.
image_24.jpg,The image shows a dog sitting next to a backpack and balloon.
image_121.jpg,"A dog, cat and cow in a field."
image_67.jpg,A dog and a piglet in front of a barn.
image_249.jpg,The image shows a dog and two cats sitting in the grass.
image_45.jpg,A dog sitting in the woods with a camera.
image_77.jpg,"A dog, pig and cat in an outdoor setting."
image_95.jpg,A small dog wearing a yellow raincoat.
image_195.jpg,A dog and cat sitting in front of a house.
image_276.jpg,"A dog, cat and puppy in front of a fence."
image_20.jpg,The image shows a dog standing next to a tree.
image_90.jpg,A house with cats and dogs in the yard.
image_226.jpg,The image shows a dog and two cats sitting in a field of flowers.
image_279.jpg,A dog wearing a hat sits by a river.
image_196.jpg,A cat and dog standing in a field.
image_144.jpg,A dog is sitting on the grass with flowers and a newspaper.
image_63.jpg,"A dog, cat and pig in a field."
image_222.jpg,"A dog, cat and pig in a field."
image_58.jpg,A dog is sitting on a beach with a toy.
image_287.jpg,A serene scene of three animals in a field.
image_60.jpg,"A serene scene of a dog, cat and cow in a field."
image_62.jpg,A dog wearing sunglasses and a cone hat.
image_261.jpg,A dog and two cats sitting in the grass.
image_291.jpg,A serene scene of three animals in a lush garden.
image_79.jpg,The image shows a dog sitting on the ground with shoes.
image_272.jpg,"A dog, cat and piglet in a field."
image_41.jpg,A dog standing on sand with flowers.
image_198.jpg,The image is a black and white photo of a dog wearing a hat.
image_300.jpg,A dog is sitting next to a bowl of water.
image_37.jpg,This image depicts a farm scene with pigs and dogs.
image_237.jpg,A dog and two pigs in a field.
image_207.jpg,A serene scene of three animals in front of a fence.
image_163.jpg,A dog lying on a mattress in a backyard.
image_82.jpg,"A dog, cat and pig in a forest."
image_123.jpg,A dog and two cats sitting on a fence.
image_117.jpg,A dog and cat in a field of flowers.
image_119.jpg,"A dog, cat and pig in a barn."
image_106.jpg,A dog sitting on a picnic blanket.
image_70.jpg,A dog wearing a coat in a field.
image_221.jpg,A serene scene of two dogs and a cat standing on the shore.
image_182.jpg,"A dog, cat and a field of flowers."
image_250.jpg,A dog wearing glasses and a hat.
image_111.jpg,A serene farm scene with animals and a tractor.
image_161.jpg,"A dog, cat and dog in a field."
image_15.jpg,"A dog, butterfly and flowers."
image_189.jpg,A dog wearing sunglasses and a scarf.
